Wvlgth Direct_normal_irradiance Difuse_horizn_irradiance Dir_norml_PAR_photn_flux
.4450E+03 .9782E+00 .2970E+00 .3639E+01
.4460E+03 .8802E+00 .2651E+00 .3282E+01
.4470E+03 .1004E+01 .2999E+00 .3752E+01
.4480E+03 .1018E+01 .3017E+00 .3814E+01
.4490E+03 .1020E+01 .2993E+00 .3828E+01
.4500E+03 .1061E+01 .3086E+00 .3990E+01
.4510E+03 .1103E+01 .3182E+00 .4158E+01
.4520E+03 .1059E+01 .3030E+00 .4000E+01
.4530E+03 .9803E+00 .2785E+00 .3712E+01
.4540E+03 .1055E+01 .2973E+00 .4002E+01
.4550E+03 .1050E+01 .2935E+00 .3992E+01
.4560E+03 .1087E+01 .3014E+00 .4144E+01
.4570E+03 .1099E+01 .3020E+00 .4198E+01
.4580E+03 .1078E+01 .2937E+00 .4126E+01
.4590E+03 .1072E+01 .2897E+00 .4113E+01
.4600E+03 .1067E+01 .2860E+00 .4104E+01
.4610E+03 .1107E+01 .2944E+00 .4268E+01
.4620E+03 .1121E+01 .2958E+00 .4329E+01
.4630E+03 .1127E+01 .2955E+00 .4360E+01
.4640E+03 .1095E+01 .2855E+00 .4248E+01
.4650E+03 .1085E+01 .2808E+00 .4216E+01
.4660E+03 .1110E+01 .2853E+00 .4326E+01
.4670E+03 .1063E+01 .2710E+00 .4149E+01
.4680E+03 .1111E+01 .2809E+00 .4347E+01
.4690E+03 .1118E+01 .2803E+00 .4384E+01
.4700E+03 .1077E+01 .2681E+00 .4232E+01
.4710E+03 .1097E+01 .2713E+00 .4320E+01
.4720E+03 .1156E+01 .2839E+00 .4562E+01
.4730E+03 .1113E+01 .2714E+00 .4402E+01
.4740E+03 .1127E+01 .2728E+00 .4465E+01
.4750E+03 .1165E+01 .2800E+00 .4627E+01
.4760E+03 .1126E+01 .2686E+00 .4482E+01
.4770E+03 .1135E+01 .2684E+00 .4524E+01
.4780E+03 .1174E+01 .2752E+00 .4692E+01
.4790E+03 .1155E+01 .2682E+00 .4624E+01
.4800E+03 .1177E+01 .2710E+00 .4724E+01
.4810E+03 .1180E+01 .2691E+00 .4747E+01
.4820E+03 .1188E+01 .2687E+00 .4787E+01
.4830E+03 .1177E+01 .2642E+00 .4751E+01
.4840E+03 .1157E+01 .2580E+00 .4680E+01
.4850E+03 .1155E+01 .2560E+00 .4683E+01
.4860E+03 .9384E+00 .2067E+00 .3812E+01
.4870E+03 .1053E+01 .2304E+00 .4287E+01
.4880E+03 .1141E+01 .2479E+00 .4656E+01
.4890E+03 .1076E+01 .2321E+00 .4400E+01
.4900E+03 .1205E+01 .2579E+00 .4936E+01
.4910E+03 .1161E+01 .2465E+00 .4764E+01
.4920E+03 .1108E+01 .2337E+00 .4558E+01
.4930E+03 .1187E+01 .2486E+00 .4893E+01
.4940E+03 .1161E+01 .2414E+00 .4793E+01
.4950E+03 .1234E+01 .2549E+00 .5107E+01
.4960E+03 .1175E+01 .2410E+00 .4872E+01
.4970E+03 .1197E+01 .2436E+00 .4973E+01
.4980E+03 .1166E+01 .2354E+00 .4854E+01
.4990E+03 .1167E+01 .2337E+00 .4869E+01
.5000E+03 .1164E+01 .2312E+00 .4867E+01
.5010E+03 .1130E+01 .2244E+00 .4732E+01
.5020E+03 .1129E+01 .2225E+00 .4739E+01
.5030E+03 .1182E+01 .2309E+00 .4968E+01
.5040E+03 .1098E+01 .2133E+00 .4626E+01
.5050E+03 .1182E+01 .2279E+00 .4991E+01
.5060E+03 .1231E+01 .2359E+00 .5207E+01
.5070E+03 .1179E+01 .2246E+00 .4998E+01
.5080E+03 .1152E+01 .2182E+00 .4891E+01
.5090E+03 .1209E+01 .2278E+00 .5146E+01
.5100E+03 .1180E+01 .2211E+00 .5030E+01
.5110E+03 .1204E+01 .2243E+00 .5142E+01
.5120E+03 .1238E+01 .2291E+00 .5297E+01
.5130E+03 .1164E+01 .2141E+00 .4994E+01
.5140E+03 .1141E+01 .2085E+00 .4904E+01
.5150E+03 .1176E+01 .2134E+00 .5061E+01
.5160E+03 .1188E+01 .2142E+00 .5123E+01
.5170E+03 .9690E+00 .1737E+00 .4188E+01
.5180E+03 .1109E+01 .1977E+00 .4803E+01
.5190E+03 .1076E+01 .1906E+00 .4668E+01
.5200E+03 .1176E+01 .2069E+00 .5110E+01
.5210E+03 .1185E+01 .2072E+00 .5161E+01
.5220E+03 .1213E+01 .2106E+00 .5291E+01
.5230E+03 .1144E+01 .1975E+00 .5001E+01
.5240E+03 .1231E+01 .2111E+00 .5392E+01
.5250E+03 .1222E+01 .2082E+00 .5361E+01
.5260E+03 .1188E+01 .2012E+00 .5225E+01
.5270E+03 .1040E+01 .1747E+00 .4580E+01
.5280E+03 .1190E+01 .1987E+00 .5254E+01
.5290E+03 .1246E+01 .2067E+00 .5511E+01
